key,zh_CN,en,ja
buff层数上限25，层数越高特效表现越强。,buff层数上限25，层数越高特效表现越强。,"Increase magic defence by 20%, further increased by 2% per stack. The number of stacks decreases every second.",buff層数の上限25は、層数が高いほど効果的に表現されます。
返回,返回,Back,戻る
关卡,关卡,Lv.,関所
学习,学习,Learn,勉強します
请将生物拖至场上,请将生物拖至场上,Select a unit and drag it onto the battlefield,生物をフィールドに引っ張り出してください。
3个相同的生物会发光，点击他们可选择进化！！,3个相同的生物会发光，点击他们可选择进化！！,Three same creatures can evolve into a stronger one,3つの同じ生物が光るので、彼らをクリックして進化を選ぶことができます。
增加20%物理防御，每层额外增加2%，每秒减少层数。,增加20%物理防御，每层额外增加2%，每秒减少层数。,"Reduce attack and skill cooldown by 30%, further increased by 3% per stack. The number of stacks decreases every second.",物理防御を20%増加させ、毎秒2%を追加し、層数を減らします。
对规则有一定的了解,对规则有一定了解,It Is Going to Get Harder And Harder,規則についてある程度知っています。
语言,语言,Language,言語
BOSS战胜利！获得战利品。,BOSS战胜利！获得战利品。,Boss fight victory! Treasures await.,ボス戦勝利！戦利品を獲得する。
战斗胜利！获得战利品。,战斗胜利！获得战利品。,You won! Collect your reward.,戦いに勝利！戦利品を獲得する。
获得金币,获得金币,Get Coins,金貨をもらう
治疗效果,治疗效果,Healing Received,治療効果
上传和更新mod,上传和更新mod,Upload/Update Mod,modのアップロードと更新
每秒减少1%的生命值，每层额外增加0.1%，每秒减少层数。,每秒减少1%的生命值，每层额外增加0.1%，每秒减少层数。,"1% max Hp is lost each second, further increased health loss by 0.1% per stack. The number of stacks decreases every second.",毎秒1%のライフ値を減らし、各層に0.1%を追加し、毎秒層数を減らす。
通关！,通关！,Level Clear!,通関します
关闭,关闭,Close,閉じる
大宝藏,大宝藏,Large Chest,宝庫
急速,急速,Hasted,急速である
失败！,失败！,Defeat!,失敗しました
魔御,魔御,Magic Armored,魔の御
设置,设置,Settings,設定
继续游戏,继续游戏,Load Game,ゲームを続ける
<!MissingKey:撤销>,撤销,,
小宝藏,小宝藏,Small Chest,小さな宝物
队伍全灭！,队伍全灭！,All Friendly Units Died!,チーム全滅！
魔法强度,魔法强度,Magic Power,魔法の強さ
余下随机,余下随机,Random,残りのランダム
购买,购买,Purchase,買います
制作名单,制作名单,Creators,リストを作成する
<!MissingKey:获得>,获得,New,獲得する
mod管理,mod管理,Mod Manager,mod管理
装备图鉴,装备图鉴,Equipment,装備図鑑
越来越熟练了，达尔文见到你都会害羞。,越来越熟练了，达尔文见到你都会害羞。,You Are Too Good For Mr. Blushing Darwin There,だんだん上手になりました。ダーウィンはあなたに会えば恥ずかしがります。
排行榜,排行榜,Leaderboard,ランキング
公共状态,公共状态,Stutus Effects,公共の状態
魔法攻击,魔法攻击,Magic Power,魔法の攻撃
进化！,进化！,Evolve!,進化！
闪避,闪避,Evasion,身をかわす
角色升级,角色升级,Upgraded,アップグレード
伤害加成,伤害加成,Damage Boost,ダメージアップ
菜单,菜单,Menu,メニュー
继续,继续,Next,次
全部取消,全部取消,Deselect All,すべてキャンセル
攻击范围,攻击范围,Attack Range,攻撃範囲
<!MissingKey:教程>,教程,Tutorial,教程
商店,商店,Shop,店
难度等级,难度等级,Challenge Level,難易度
增益状态,增益状态,Buff,状態を得る
说明,说明,Explain,説明
确定,确定,Confirm,を選択します
选择本局出现生物系列,选择本局出现生物系列,Choose our biological series,この局の生物シリーズを選択してください。
魔法吸血,魔法吸血,Magic Vamp,魔法の吸血鬼
失明,失明,Blinded,視力を失う
物理攻击,物理攻击,Attack,物理攻撃
中毒,中毒,Poisoned,中毒する
取消,取消,Cancel,キャンセル
你升级了，人口提升！,你升级了，人口提升！,"You're upgraded, population increased",あなたがアップグレードされ、人口がアップグレードされます！
选择本局出现的道具,选择本局出现的道具,Choose the props that appear in this bureau,ゲームに出てくるアイテムを選択します。
增加20%攻击速度，每层额外增加2%，每秒减少层数。,增加20%攻击速度，每层额外增加2%，每秒减少层数。,"Increase attack speed by 20%, further increased by 2% for each stack. The number of stacks decreases every second.",攻撃速度を20%増加させ、各層に2%を追加し、毎秒レイヤー数を減らします。
你现在是一个小熟手。,你现在是一个小熟手。,A Worthy Challenge For You,あなたは今熟練者です。
<!MissingKey:全选>,全选,,
你占领层数,你占领层数,You Conquered Floors,あなたが層を占領します
开始战斗,开始战斗,Battle!,戦闘を開始する
初探游戏规则,初探游戏规则,Welcome to Legend Creature!,ゲームのルールを探る
