key,zh_CN,en,ja
<!MissingKey:>,,"When attacking [Blinded] creature, deal bonus damage equal of 5 * the ",通常の[ブラインド]クリーチャーを攻撃し、追加の[ブラインドネス]レイヤーを発生させます* 5魔法ダメージ
好书,好书,Novel,良書
每次普通攻击获得2层[急速],每次普通攻击获得2层[急速],Gain two stacks of [Hasted] on normal attacks,基本攻撃ごとに2ティア[ヘイスト]を獲得
熔岩吊坠,熔岩吊坠,Magma Pendant,溶岩ペンダント
环保盾,环保盾,Shield of Nature,環境保護シールド
进入战斗和每10秒，免疫一次技能伤害。,进入战斗和每10秒，免疫一次技能伤害。,Immune to one ability damage immediately into the fight and every 10 seconds after,戦闘に入り、10秒ごとにスキルのダメージを受けません。
施放cd技能会获得[急速]15秒,施放cd技能会获得[急速]15秒,Gain 15 seconds of [Hasted] upon skill cast,キャスティングCDスキルは15秒間[ヘイスト]を獲得します
每秒使周围1格敌方附加3层烧灼.,每秒使周围1格敌方附加3层[烧灼].,Inflict 3 stacks of [Burning] to nearby enemies every seconds,毎秒あなたの周りのすべての敵にさらに3層の[焦げ]を追加します。
残暴之剑,残暴之剑,Blade of Tyranny,残忍な剣
普通攻击中毒单位时，恢复 层数 * 0.3%生命值,普通攻击[中毒]单位时，恢复 层数 * 0.3%生命值,"On normal attack [Poisoned] units, regenerate 0.30 * stacks of Hp",通常攻撃[毒された]ユニット、レイヤー数を回復*ヘルス0.3％
荆棘盾,荆棘盾,Thorn Shield,いばらの盾
技能命中敌方单位时，赋予目标5层[结霜]，并使目标承受结霜层数*3的真实伤害,技能命中敌方单位时，赋予目标5层[结霜]，并使目标承受[结霜]层数*3的真实伤害,"When an ability damages enemy units, inflict 5 stacks of [Frozen], dealing bonus true damage equivalent of 3 * the stacks of  [Frozen]",スキルが敵ユニットに命中した場合、ターゲットに[フロスト]を5層付与し、[フロスト]層の実際のダメージをターゲットに与える※3
剧毒之杖,剧毒之杖,Toxic Staff,有毒なスタッフ
风之弓,风之弓,Zephyr,風の弓
吸血杖,吸血杖,Bloodlust Scepter,ヴァンパイアスタッフ
战斗时获得等同于物理抗性30%的魔抗,战斗时获得等同于物理抗性30%的魔抗,Gain an additional 30% of Armor as Magic Armor,戦闘中、物理耐性の30％に等しい魔法耐性を得る
夜色匕首,夜色匕首,Dirk of the Darkened,ナイトダガー
濒临死亡复活1次，恢复50%生命值,濒临死亡复活1次，恢复50%生命值,"Resurrects and restores 50% of max Hp, occurs one time per battle",死の瀬戸際に一度復活し、人生の50％を回復した
斩铁,斩铁,Zantetsuken,チョップアイアン
道服,道服,Cassock,道教
普通攻击流血单位时，会获得物理吸血： 层数*3%,普通攻击[流血]单位时，会获得物理吸血： 层数*3%,"On normal attack [Hemorrhaged] units, gain 3 * stacks life vamp",[出血]ユニットを通常攻撃すると、物理的なライフスティールを獲得できます：レイヤー* 3％
闪避时使目标附加4层[结霜],闪避时使目标附加4层[结霜],Inflict 4 stacks of [Frozen] on evasion ,回避するときにターゲットに4つのレイヤーを追加します。
"当敌方10层以上[结霜]的单位死亡，获得2金币,每场战斗限6金币","当敌方10层以上[结霜]的单位死亡，获得2金币,每场战斗限6金币","When an enemy dies with more than 10 stacks of [Frozen], gain 2 coins, maximum 6 per battle",[Frost]の10レベルを超える敵ユニットが死亡すると、2ゴールドコインを獲得します。各バトルは6ゴールドコインに制限されています
裁决,裁决,Judgement,判決
