key,zh_CN,en,ja
你对敌人的[结霜]效果增强%d%%,你对敌人的[结霜]效果增强%d%%,[Frozen] effect is %d%% stronger,敵への[霜]効果が％d %%増加します
战斗结束额外获得%d金币,战斗结束额外获得%d金币,Gain additional %d%% coins at the end of each battle,戦闘終了時に％d枚のコインを追加で獲得
体术掌握,体术掌握,Adrenaline,習得
坚韧掌握,坚韧掌握,Endurance,粘り強さ
男兵训练,男兵训练,Fearless warriors,男性兵士の訓練
你对敌人的[中毒]效果增强%d%%,你对敌人的[中毒]效果增强%d%%,[Poisoned] effect is %d%% stronger,敵に対する[毒]の効果が％d %%増加します
修女训练,修女训练,Life of Prayer,修道女のトレーニング
你对敌人的[流血]效果增强%d%%,你对敌人的[流血]效果增强%d%%,[Hemorrhaged] effect is %d%% stronger,敵への[出血]効果が％d %%増加します
植物训练,植物训练,Photosynthesis,植物育成
男兵系列生物 提升伤害 和 减少承受伤害 各 %d%%,男兵系列生物 提升伤害 和 减少承受伤害 各 %d%%,Creatures from the warriors tree have %d%% increased damage output and damage mitigation,男性兵士のクリーチャーは、ダメージを増加させ、ダメージをそれぞれ％d %%減少させます
战斗时 你的所有生物 技能冷却速度提升 %d%%,战斗时 你的所有生物 技能冷却速度提升 %d%%,"In battle, all friendly creature has increased %d%% reduced cooldown",戦闘中、すべてのクリーチャーのスキルのクールダウンが％d %%増加します
你的[急速]效果增强%d%%,你的[急速]效果增强%d%%,[Hasted] effect is %d%% stronger,[ヘイスト]効果が％d %%向上します
恢复,恢复,First Aid,戻す
战斗时 你的所有生物 魔法防御提升 %d%%,战斗时 你的所有生物 魔法防御提升 %d%%,"In battle, all friendly creature has increased %d%% magic defence",戦闘中、すべてのクリーチャーは魔法防御力が％d %%増加します
抵御强化,抵御强化,Enhanced Armored,身を守ります
精灵训练,精灵训练,Pixie Magic,ウィザードトレーニング
哥布林系列生物 提升伤害 和 减少承受伤害 各 %d%%,哥布林系列生物 提升伤害 和 减少承受伤害 各 %d%%,Creatures from the Goblin tree have %d%% increased damage output and damage mitigation,ゴブリンのクリーチャーは、ダメージを増やし、ダメージをそれぞれ％d %%減らします
流血强化,流血强化,Surgeon,出血
法抗掌握,法抗掌握,Spell Shield,法の抵抗
战斗时 你的所有生物 法强提升 %d%%,战斗时 你的所有生物 法强提升 %d%%,"In battle, all friendly creature has increased %d%% magic attack",戦闘中、すべてのクリーチャーの魔法力は％d %%増加します
魔法掌握,魔法掌握,Magical Energies,魔法の習得
植物系列生物 提升伤害 和 减少承受伤害 各 %d%%,植物系列生物 提升伤害 和 减少承受伤害 各 %d%%,Creatures from the Plants tree have %d%% increased damage output and damage mitigation,植物シリーズのクリーチャーはダメージを増やし、ダメージを％d %%減らします
精灵系列生物 提升伤害 和 减少承受伤害 各 %d%%,精灵系列生物 提升伤害 和 减少承受伤害 各 %d%%,Creatures from the Pixies tree have %d%% increased damage output and damage mitigation,魔神クリーチャーは、ダメージを増やし、ダメージをそれぞれ％d %%減らします
冷却掌握,冷却掌握,Perfect Timer,冷却マスタリー
你对敌人的[失明]效果增强%d%%,你对敌人的[失明]效果增强%d%%,[Blinded] effect is %d%% stronger,敵に対する[ブラインド]効果が％d %%増加します
活尸训练,活尸训练,Necromancy,ライブトレーニング
